Starting transfer attack: 10 RPS for 10 seconds
Setting up test customers...
Created 100 source customers and 100 destination customers
Total initial balance: 100100.00
Target URL: http://localhost:8080/accounts/transfer
Press Ctrl+C to stop early if needed

Transfer attack in progress............. completed!

[source-0] balance verified: 999.00
[source-1] balance verified: 999.00
[source-2] balance verified: 997.00
[source-3] balance verified: 1000.00
[source-4] balance verified: 1000.00
[source-5] balance verified: 999.00
[source-6] balance verified: 999.00
[source-7] balance verified: 1000.00
[source-8] balance verified: 999.00
[source-9] balance verified: 997.00
[source-10] balance verified: 1000.00
[source-11] balance verified: 998.00
[source-12] balance verified: 1000.00
[source-13] balance verified: 999.00
[source-14] balance verified: 997.00
[source-15] balance verified: 1000.00
[source-16] balance verified: 1000.00
[source-17] balance verified: 1000.00
[source-18] balance verified: 1000.00
[source-19] balance verified: 1000.00
[source-20] balance verified: 1000.00
[source-21] balance verified: 998.00
[source-22] balance verified: 1000.00
[source-23] balance verified: 997.00
[source-24] balance verified: 998.00
[source-25] balance verified: 999.00
[source-26] balance verified: 999.00
[source-27] balance verified: 1000.00
[source-28] balance verified: 999.00
[source-29] balance verified: 998.00
[source-30] balance verified: 1000.00
[source-31] balance verified: 999.00
[source-32] balance verified: 997.00
[source-33] balance verified: 999.00
[source-34] balance verified: 998.00
[source-35] balance verified: 1000.00
[source-36] balance verified: 999.00
[source-37] balance verified: 999.00
[source-38] balance verified: 998.00
[source-39] balance verified: 999.00
[source-40] balance verified: 1000.00
[source-41] balance verified: 998.00
[source-42] balance verified: 998.00
[source-43] balance verified: 1000.00
[source-44] balance verified: 997.00
[source-45] balance verified: 1000.00
[source-46] balance verified: 999.00
[source-47] balance verified: 999.00
[source-48] balance verified: 998.00
[source-49] balance verified: 999.00
[source-50] balance verified: 999.00
[source-51] balance verified: 996.00
[source-52] balance verified: 998.00
[source-53] balance verified: 998.00
[source-54] balance verified: 1000.00
[source-55] balance verified: 999.00
[source-56] balance verified: 999.00
[source-57] balance verified: 1000.00
[source-58] balance verified: 998.00
[source-59] balance verified: 998.00
[source-60] balance verified: 999.00
[source-61] balance verified: 999.00
[source-62] balance verified: 1000.00
[source-63] balance verified: 999.00
[source-64] balance verified: 1000.00
[source-65] balance verified: 999.00
[source-66] balance verified: 999.00
[source-67] balance verified: 1000.00
[source-68] balance verified: 1000.00
[source-69] balance verified: 997.00
[source-70] balance verified: 999.00
[source-71] balance verified: 1000.00
[source-72] balance verified: 998.00
[source-73] balance verified: 999.00
[source-74] balance verified: 1000.00
[source-75] balance verified: 999.00
[source-76] balance verified: 998.00
[source-77] balance verified: 999.00
[source-78] balance verified: 1000.00
[source-79] balance verified: 1000.00
[source-80] balance verified: 1000.00
[source-81] balance verified: 1000.00
